Year,Month,Day,SIE,MeanX,MeanY,StdX,StdY,CorXY
2010,11,5,8433125,130.390202327133,188.470836730156,37.0355845164268,35.1947875831007,-0.0257709116225839
2010,11,6,8521875,130.437477081041,188.383058305831,37.0830695647894,35.5461018989502,-0.027790484806935
2010,11,7,8679375,130.125441059984,188.103910131778,37.5161840515987,36.1810385331827,-0.0383467051343019
2010,11,8,8785000,130.010458167331,188.05655947638,37.7756153624387,36.336579956227,-0.0599857183984701
2010,11,9,8851250,129.819234571388,188.154639175258,37.8184620418638,36.5383874763324,-0.0614781872049911
2010,11,10,8886875,129.238624375835,188.443209789718,37.9919496392738,36.4766012069058,-0.0553237971510071
2010,11,11,9012500,128.797295423024,188.29334257975,38.2860361142272,36.7867351199148,-0.0553727354538543
2010,11,12,9032500,128.324245779131,188.247785773595,38.4024771077684,37.4939922110165,-0.0438677028678506
2010,11,13,9065000,128.275717043574,188.632653061224,38.6716793928282,36.7888205528762,-0.0531190515046672
2010,11,14,9102500,128.163691293601,188.503501785224,38.8415199858552,36.8122410222914,-0.0474107763686778
2010,11,15,9185625,128.120364700279,188.260257195346,39.1305956511416,37.1551051433548,-0.0454052275794661
2010,11,16,9270625,127.705858558619,187.642216679026,39.4294607431483,37.6778492289356,-0.0276144291503187
2010,11,17,9233750,127.791796399079,186.759442263436,39.569980716212,37.3319809411249,-0.0273631945685702
2010,11,18,9303125,127.861135371179,186.522136378905,39.7620550984328,37.324186860907,-0.0276462402125882
2010,11,19,9336875,127.974964857085,186.470915054555,39.8816280480603,37.0717730990344,-0.0324856780378029
2010,11,20,9363125,128.258260463253,186.128028836526,39.9911225966565,37.2075602433498,-0.0415312218222517
2010,11,21,9395625,128.432581653695,185.407303931351,40.2895823233591,37.7248711975729,-0.031500782107213
2010,11,22,9390625,128.937770382696,185.4984359401,40.2245153477609,37.2914145376558,-0.0610523478766612
2010,11,23,9411875,129.29703167541,185.385882196693,40.1111464452097,37.4988506263467,-0.0685661749970311
2010,11,24,9529375,129.301042828097,185.266347478192,40.2192751960115,37.9458622364864,-0.0711738857614495
2010,11,25,9604375,129.254050888267,185.139389601093,40.3305501518029,38.4302459625523,-0.0695656684448007
2010,11,26,9655625,129.346041815004,184.893132241569,40.420155702558,38.4428987873104,-0.0697997252312662
2010,11,27,9739375,129.091830841301,184.701982930116,40.7862009496021,38.897110133191,-0.0627910554428847
2010,11,28,9765000,129.660010240655,185.108358934972,40.5649602413889,39.0659157376617,-0.0905864970356414
2010,11,29,9860000,129.612385902637,185.126838235294,40.9071674046019,39.4515014714278,-0.0986112742769586
2010,11,30,9883125,128.918674508316,184.825649781825,41.5032046250073,39.5458298237662,-0.0856525642217511
2010,12,1,9912500,128.082156368222,184.943505674653,41.7932791364126,39.4292056229682,-0.064685683050639
2010,12,2,9991250,127.56993619417,184.894970599274,42.011075427912,39.5469373808064,-0.053187681889331
2010,12,3,10062500,127.2,184.738944099379,42.2142097297283,39.6871819209045,-0.0442722404613163
2010,12,4,10158750,127.102497846684,184.234219269103,42.7405037484764,39.9462596786413,-0.0445832109192843
2010,12,5,10267500,126.713172632092,184.456476747017,43.3236867688714,40.0514551266189,-0.042362274348309
2010,12,6,10348125,126.014978558918,184.523645587969,43.647152063691,40.3997151091373,-0.0290781445888002
2010,12,7,10353750,125.789206809127,184.151696245322,43.8216410625177,40.4403234730663,-0.0215571008223513
2010,12,8,10424375,125.239822531327,183.826488398585,44.5027019363718,40.6467233109848,-0.00600289006491779
2010,12,9,10506875,124.897745523764,183.733448337398,44.8415761506199,40.9126772349004,-0.000789565369063036
2010,12,10,10588125,124.611061920784,183.817956437046,45.3417837754643,40.6960748487603,-0.00397767572826798
2010,12,11,10633750,124.273421887857,183.769366404138,45.5344321289798,40.9470861562352,0.00337894006912906
2010,12,12,10673125,123.575745154301,183.483925748082,45.7991133022558,41.0101706268343,0.0218331232197154
2010,12,13,10693125,123.207142439652,183.400841662283,45.884614569392,41.0404451521027,0.02945719951288
2010,12,14,10752500,122.919030458033,183.20902115787,46.2127812059942,41.1122127951763,0.0362278800063281
2010,12,15,10776250,123.412481150679,182.982310636817,46.0114546958972,41.3247930725415,0.0252000162784587
2010,12,16,10726250,123.813191935672,183.046905955017,45.648466458338,41.5531927369579,0.0172137358176123
2010,12,17,10668125,124.187005682817,183.054191809714,45.6457723427982,41.482211266728,0.0116358207089287
2010,12,18,10642500,124.715057552267,183.421540991308,45.6903300902541,41.1240483050921,-0.00286414527073868
2010,12,19,10618125,124.955677202896,183.433633527577,45.611478238908,41.0394494733932,-0.00884078228219787
2010,12,20,10673125,125.026116999473,183.166129882298,45.602176385116,41.252730413377,-0.0109809694284538
2010,12,21,10709375,125.054274875985,183.168193755471,45.686427908423,41.2576644978003,-0.0137264564951458
2010,12,22,10776875,124.911790291713,182.887374586789,46.1315168765576,41.4819328835208,-0.0144090577154568
2010,12,23,10791250,124.855959689563,182.820456388278,46.2726151794124,41.4167003533274,-0.0136078336828778
2010,12,24,10808125,124.61007344012,182.912507951194,46.2948081272502,41.2045856851585,-0.00589233817797994
2010,12,25,10863125,124.515390368794,182.555146424256,46.4556726018551,41.4960245105295,-0.00298688582263677
2010,12,26,10875625,124.381932072869,182.547612206195,46.5681425610137,41.4150741581388,-0.00109414372340823
2010,12,27,10890625,124.420258249641,182.56700143472,46.8163599707295,41.2491760020828,-0.00754174674186615
2010,12,28,10888750,124.383997244863,182.596601997474,46.9589402043413,41.1779772848642,-0.00620049703699684
2010,12,29,10911250,124.142742582197,182.376217207011,47.0648236163151,41.45771144023,0.00128864506758963
2010,12,30,10907500,123.906830162732,182.319447627779,47.0237835534254,41.5769282488534,0.00883995162798424
2010,12,31,10903125,123.652049297793,182.320034393809,47.1002418813492,41.6102638582551,0.0144793436930737
2011,1,1,10928750,123.378073887682,182.200732014183,47.3727227128678,41.6046499373598,0.0201538109313097
2011,1,2,10980625,123.206443166942,181.724173259719,47.4462973431498,41.8795582070561,0.0247473565505681
2011,1,3,10967500,123.555732847048,181.675632550718,47.2104653937938,42.0112572025001,0.0134743308865763
2011,1,4,10987500,123.718486916951,181.646075085324,47.2649647596267,42.0111759056717,0.00901007838818865
2011,1,5,11021250,123.749517976636,181.510434388114,47.2626911250024,42.0927799007477,0.00947187420686694
2011,1,6,11006250,124.012152186258,181.586144236229,47.1749552171553,42.0071407758362,0.00192746236769333
2011,1,7,10997500,124.188451920891,181.652364173676,46.9876993508261,42.0444863608934,-0.00252766664279409
2011,1,8,11018125,124.19002779511,181.550456633955,47.0514768897021,42.0726935400029,-0.00142899156021923
2011,1,9,11001250,124.121179411431,181.63657538916,47.1196036277407,42.0363047034522,0.00142788916787564
2011,1,10,11028750,123.876572594356,181.602176130568,47.4399285349249,41.9291831828648,0.0055438098244997
2011,1,11,11063125,123.591661488052,181.474549460482,47.7015895266269,41.9083918023496,0.0140901724459887
2011,1,12,11086875,123.488020745251,181.393483285416,47.8969359987228,41.8667521191958,0.0156683169374425
2011,1,13,11160625,123.531724253794,181.002072016576,48.1756531738626,42.0214406478236,0.0124891183873419
2011,1,14,11238750,123.358302747192,180.56006006006,48.3861725231067,42.2386635150353,0.0152741471994802
2011,1,15,11281250,123.200221606648,180.329418282548,48.6031657707868,42.3429837198415,0.0189111187971248
2011,1,16,11264375,122.95328191755,180.427953170948,48.8365411262373,42.2741100756525,0.0252446095650475
2011,1,17,11233750,122.37693334817,180.590853454991,48.9462939855933,42.2100982774259,0.0391317995708372
2011,1,18,11236875,121.896768452083,180.531230880472,49.1757210219669,42.2894428317359,0.0526425981830543
2011,1,19,11199375,121.642000111613,180.792231709359,49.2207463385306,42.0953474329206,0.059330506023133
2011,1,20,11209375,121.398884862002,180.724616671313,49.3438182459666,42.1357933829556,0.065783803978606
2011,1,21,11186250,121.080008939546,180.776958319365,49.4489216849571,42.2046226372544,0.0745244803141713
